/sentences,,,,,,
/sentence/@id,/sentence/#id,/sentence/aspectTerms/aspectTerm/@from,/sentence/aspectTerms/aspectTerm/@polarity,/sentence/aspectTerms/aspectTerm/@term,/sentence/aspectTerms/aspectTerm/@to,/sentence/text
1440,1364,29,positive,cost,33,"My last computer, a Toshiba, cost only $400, and worked like a charm for many years."
2949,1365,3,negative,discharges,13,It discharges too quickly.
1206,1366,22,negative,compatibility,35,"But to be honest, the compatibility issues and the other little quirks make me think I ll buy a PC next time."
1461,1367,,,,,"  three years is a decent life, but this must make it to graduation and beyond."
705,1368,,,,,I work on a PC at home and have used Pc all through college.
1445,1369,,,,,TOSHIBA WILL NOT ACKNOWLEDGE THIS PROBLEM.
109,1370,15,negative,charging,23,Then it ceased charging at all.
1122,1371,,,,,An absolutely hateful machine that no one should get of their own free will.
1599,1372,96,neutral,stand,101,"I do not experience a lot of heat coming out of it, however I would highly suggest purchasing a stand however, due to the nature of the design of the macbook as it is one very large heat sink."
1599,1372,136,negative,design,142,"I do not experience a lot of heat coming out of it, however I would highly suggest purchasing a stand however, due to the nature of the design of the macbook as it is one very large heat sink."
1599,1372,182,negative,heat sink,191,"I do not experience a lot of heat coming out of it, however I would highly suggest purchasing a stand however, due to the nature of the design of the macbook as it is one very large heat sink."
1050,1373,2,negative,Webcam,8,"*=Webcam is a bit laggy, not the greatest."
1430,1374,104,neutral,trend micro,115,"I am not much of a computer techie, so I can understand some of the internal problems, though I do have trend micro as an antiviral program."
1430,1374,122,neutral,antiviral program,139,"I am not much of a computer techie, so I can understand some of the internal problems, though I do have trend micro as an antiviral program."
759,1375,,,,,Stay away from HP.
1942,1376,172,negative,warrenty,180,"The computer continued to give me issues and in Late June it completely died again and I tried to call Acer again to get it fixed and they refused to help me, they said my warrenty was up and hung up on me."
2978,1377,68,negative,plastic piece,81,I've haven't had any major problems with the laptop except that the plastic piece that covers the usb port wires have all come off.
2978,1377,98,neutral,usb port wires,112,I've haven't had any major problems with the laptop except that the plastic piece that covers the usb port wires have all come off.
2288,1378,16,positive,case design,27,Wonderful sleek case design is only on the outside.
2702,1379,72,neutral,connection,82,It is speedy when connected wirelessly to any network regardless if the connection is weak or not.
215,1380,,,,,I like it!
3036,1381,4,positive,pricing,11,The pricing is very competitive.
2367,1382,,,,,so we got a good deal on hsn for an ascer notebook and we bought it for him.
209,1383,37,positive,built-in wireless,54,Connecting to my wireless router via built-in wireless took no time at all.
1586,1384,,,,,Its still going.
2157,1385,45,positive,screen size,56,This computer is exceptionally thin for it's screen size and processing power.
2157,1385,61,positive,processing power,77,This computer is exceptionally thin for it's screen size and processing power.
1337,1386,,,,,There is NO way I will buy a LG product in the future.
301,1387,34,positive,applications,46,I have not had a problem with the applications quitting or freezing.
305,1388,,,,,"Prior to this computer, I owned a PowerBook G4 for 6 years (quite a long time for a laptop)."
1190,1389,109,negative,screen,115,"Maybe this is virus related, maybe not, but the computer has locked up many times, and on two occasions, the screen has simply gone black."
2178,1390,,,,,The advantages of owning 'a 'mac are numerous.
3025,1391,,,,,I challenge anyone to show proof that through anywhere near normal use can get more than 2.5 hrs out of it.
37,1392,,,,,Using this machine is like a mild form of torture.
2021,1393,23,negative,programs,31,This wiped out several programs that were installed on the computer when it was bought.
996,1394,,,,,"On the twelfth day that I had the notebook, I decided to go to Dell's website and update it."
791,1395,,,,,The computer blinks it shuts off at will.
2906,1396,,,,,Excellent product for the money.
333,1397,5,positive,graphics,13,"It's graphics aren't bad at all, for the lower end of the MacBook Pro spectrum, easily capable of running StarCraft II and other games with comparable graphics."
333,1397,151,neutral,graphics,159,"It's graphics aren't bad at all, for the lower end of the MacBook Pro spectrum, easily capable of running StarCraft II and other games with comparable graphics."
1436,1398,7,negative,Vista,12,"I have Vista, so I am unable to install and uninstall  some programs."
1436,1398,60,negative,programs,68,"I have Vista, so I am unable to install and uninstall  some programs."
1436,1398,32,negative,install,39,"I have Vista, so I am unable to install and uninstall  some programs."
1436,1398,44,negative,uninstall ,54,"I have Vista, so I am unable to install and uninstall  some programs."
2359,1399,4,positive,screen,10,"The screen is bright and vivid and the keyboard is very easy to use, very important for use quick typers."
2359,1399,39,positive,keyboard,47,"The screen is bright and vivid and the keyboard is very easy to use, very important for use quick typers."
1637,1400,,,,,"I can do everything I could before, only faster and more efficiently."
2981,1401,,,,,I called Toshiba and they want me to be without my laptop for about two weeks while they look at the problem.
2839,1402,4,negative,mouse,9,the mouse jumps around all the time and it clicks stuff i dont want it too.
1456,1403,,,,,  i dont understand why i spent twice as much to get a laptop rather than a desktop when my lap top is completely immoble.
3077,1404,26,positive,noise,31,For those that care about noise this thing doesn't really make any;
2042,1405,,,,,Here we are another year later and the computer is doing the same thing.
1988,1406,,,,,"Despite the plethora of problems, I managed to use technological trickery to keep the machine operational for two years."
237,1407,9,positive,IWORKS,15,"I had my IWORKS, Itunes, Email, MS Office, network and printers set up and completely working perfectly within an hour."
237,1407,17,positive,Itunes,23,"I had my IWORKS, Itunes, Email, MS Office, network and printers set up and completely working perfectly within an hour."
237,1407,32,positive,MS Office,41,"I had my IWORKS, Itunes, Email, MS Office, network and printers set up and completely working perfectly within an hour."
380,1408,,,,,Simply amazing computer!!
994,1409,,,,,"I first purchased this Dell model ""1764"" on April 6, 201"
219,1410,83,positive,performance,94,The macbooks are small enough to be very portable yet hold tons of information and performance.
1024,1411,,,,,Two times with in one month.
2532,1412,74,negative,iWork,79,The only downfall is a lot of the software I have won't work with Mac and iWork is not worth the price of it.
2532,1412,34,negative,software,42,The only downfall is a lot of the software I have won't work with Mac and iWork is not worth the price of it.
2532,1412,97,negative,price,102,The only downfall is a lot of the software I have won't work with Mac and iWork is not worth the price of it.
669,1413,,,,,"Waited on getting this computer, but it has been a great change."
422,1414,,,,,"For my burn thigh which has put a permanent mark on my skin (it happened 7 months ago) they offered me an ITouch 8Gig (you know it is a bit insulating when a company this rich, offer a loyal customer like me, a bottom of their product line as a gift for events like this)."
1993,1415,62,negative,BIOS,66,"Whenever tried to turn it on, it would restart as soon as the BIOS launched Windows (or Winblows, as I like ot call it)."
1993,1415,76,negative,Windows,83,"Whenever tried to turn it on, it would restart as soon as the BIOS launched Windows (or Winblows, as I like ot call it)."
2497,1416,17,neutral,application,28,BUT there's this application called Boot Camp which allows you to add another OS X like Windows.
2497,1416,78,neutral,OS X,82,BUT there's this application called Boot Camp which allows you to add another OS X like Windows.
2497,1416,36,neutral,Boot Camp,45,BUT there's this application called Boot Camp which allows you to add another OS X like Windows.
2497,1416,88,neutral,Windows,95,BUT there's this application called Boot Camp which allows you to add another OS X like Windows.
888,1417,4,negative,mousepad,12,The mousepad is a huge pain in the arse!
1120,1418,87,neutral,Windows 7,96,"I hope to edit this in the next few hours, I am going to try to install my own copy of Windows 7."
770,1419,,,,,"If it's not shipped on the next business day, called on a Friday they are closed on weekends, what was the next step."
1174,1420,20,neutral,Applecare,29,") I also purchased  Applecare  for $300, which is a three year extended warranty, since I ve never seen any laptop that lasted more than two."
1174,1420,63,neutral,extended warranty,80,") I also purchased  Applecare  for $300, which is a three year extended warranty, since I ve never seen any laptop that lasted more than two."
2072,1421,,,,,"I have had the netbook for 2 months and I love it, I read some reviews that say netbooks are slow but it does not seem any slower than the other computers I use."
2100,1422,6,neutral,windows,13,"I run windows via bootcamp for the couple programs I do not want to buy a mac version of, like my cad programs."
2100,1422,42,neutral,programs,50,"I run windows via bootcamp for the couple programs I do not want to buy a mac version of, like my cad programs."
2100,1422,98,neutral,cad programs,110,"I run windows via bootcamp for the couple programs I do not want to buy a mac version of, like my cad programs."
2100,1422,18,neutral,bootcamp,26,"I run windows via bootcamp for the couple programs I do not want to buy a mac version of, like my cad programs."
1331,1423,,,,,"C'mon, LG."
60,1424,125,neutral,memory,131,"Whenever I call Dell about an unrelated problem, they ask me if my laptop is running slowly and if I'd like to purchase more memory for $75."
1454,1425,49,negative,operation,58,  since then i have had minor problems with slow operation.
889,1426,,,,,"If you faintly come close to touching this thing while typing, all craziness may break loose."
2705,1427,17,positive,use,20,Registration/1st use is easy.
1498,1428,,,,,"I love this laptop, and use it everyday to do something, and never lets me down."
393,1429,,,,,Finally was able to reach a young lady in California and ordered the machine and was subsequently given a delivery date.
2215,1430,,,,,I definitely will buy a Mac again if and when this computer ever fails.
718,1431,,,,,"The Toshiba Mini Notebook, Model NB 305-N410BL, is a great little computer."
1177,1432,34,neutral,tutorials,43,Take your time and go through the tutorials patiently.
438,1433,,,,,So if anyones looking to buy a computer or laptop you should stay far far away from any that have the name TOSHIBA on it...
2330,1434,,,,,"(I'm an excellent touch typist, and my hands are very sensitive, too."
961,1435,16,negative,mouse pad,25,  This time the mouse pad and right click key wouldn't work!
961,1435,30,negative,right click key,45,  This time the mouse pad and right click key wouldn't work!
1914,1436,,,,,  EVENTUALLY we pushed hard enough to convince them that this was the MACHINE that was causing the problems.
3026,1437,30,negative,battery,37,The first full charge of this battery got me only about 2 full hours.
3026,1437,10,negative,full charge,21,The first full charge of this battery got me only about 2 full hours.
2336,1438,11,positive,cordless mouse,25,"I bought a cordless mouse for it, but don't always take it out;"
1605,1439,,,,,"When I got it, I immediately noticed that it was quite heavy and thick and not really attractive."
384,1440,,,,,"It is sleek, smooth, and lightweight."
2539,1441,144,positive,runs,148,"i am a huge computer person i love anykind of computer that works well, but when i got this one i was so happy with the way it works and how it runs its amazing."
2853,1442,8,negative,Toshiba tech support,28,It took Toshiba tech support 4 calls and 4 different techs to correct the problem.
2853,1442,53,negative,techs,58,It took Toshiba tech support 4 calls and 4 different techs to correct the problem.
2976,1443,15,negative,charged,22,They only stay charged a little over an hour.
1782,1444,,,,,Now they are believers in the product.
53,1445,,,,,Had to have this computer repaired twice in the first 5 months after purchasing it.
2012,1446,,,,,Hewlett Packard HP Pavillion DV6000 Laptop is the worst laptop we have ever bought.
1148,1447,,,,,I had never owned a Mac before;
1127,1448,6,conflict,USB ports,15,"The 4 USB ports are nice, but the two on the side only work now and then."
1843,1449,77,negative,tech support,89,  I could not find a phone number anywhere to call an actual live person for tech support and had to result the their online chat.
1843,1449,118,neutral,online chat,129,  I could not find a phone number anywhere to call an actual live person for tech support and had to result the their online chat.
410,1450,,,,,i try to use it today and I can't logon.
1128,1451,0,negative,Keyboard,8,Keyboard could use some trimming.
849,1452,,,,,The bottom-line is that this laptop just isn't worth it.
173,1453,,,,,I returned the computer to HP and they kept it for 3 months.
1767,1454,10,positive,color,15,Its white color is stylish for college students and easy to take to carry and take to classes.
1887,1455,85,negative,keyboard,93,"Returned laptop for repair a 2nd time and it came back with obvious physical damage (keyboard bulging and speaker grill pressed in), buttons not working and USB ports inoperative."
1887,1455,106,negative,speaker grill,119,"Returned laptop for repair a 2nd time and it came back with obvious physical damage (keyboard bulging and speaker grill pressed in), buttons not working and USB ports inoperative."
1887,1455,133,negative,buttons,140,"Returned laptop for repair a 2nd time and it came back with obvious physical damage (keyboard bulging and speaker grill pressed in), buttons not working and USB ports inoperative."
1887,1455,157,negative,USB ports,166,"Returned laptop for repair a 2nd time and it came back with obvious physical damage (keyboard bulging and speaker grill pressed in), buttons not working and USB ports inoperative."
1880,1456,43,conflict,full service,55,"When I am next to my router on my HP I get full service, on my Eee PC I get 3 bars."
101,1457,76,positive,warranty,84,I got assurances from 2 different people that the remaining 10 months of my warranty would transfer to the new computer.
1033,1458,,,,,Pretty disappointed about this product.
792,1459,4,negative,letter A,12,The letter A stopped working after the first week.
1927,1460,,,,,"By the time I was finally able to get a work order to get it fixed I had been without my computer for almost a week while I was an Online College Student, so it was very inconvenient and I had to send it off and be without it while it was being fixed also."
2278,1461,,,,,It out performs any other laptop on the market today.
1330,1462,27,positive,after sales service,46,This is what I call a good after sales service.
1117,1463,,,,,"Maybe it's Acer, maybe it's MSFT."
2103,1464,,,,,"So if you want a good machine that does almost anything this is the one, if you want a low budget computer then look at the other great brands Best Buy sells."
3079,1465,56,negative,software,64,I took off a star because the machine has a lot of junk software on it.
579,1466,,,,,I would buy one of these for every person in my office if I could.
973,1467,44,positive,works,49,"With what I do know how to do, the computer works beautiful."
1083,1468,,,,,"HAVING HAD EXPERIENCE WITH A TOSHIBA LAPTOP, I WAS DISAPPOINTED TO FIND THAT THE TOSHIBA NB305 LAPTOP HAS MAJOR PROBLEMS."
2727,1469,16,negative,recovey disk,28,Tried to make a recovey disk wouldnt get passed the first recovery disk.
2727,1469,58,negative,recovery disk,71,Tried to make a recovey disk wouldnt get passed the first recovery disk.
2791,1470,43,positive,speed,48,"Most everything is fine with this machine: speed, capacity, build."
2791,1470,50,positive,capacity,58,"Most everything is fine with this machine: speed, capacity, build."
2791,1470,60,positive,build,65,"Most everything is fine with this machine: speed, capacity, build."
1499,1471,,,,,"I have never had it crash, randomly turn off,"
161,1472,13,negative,price,18,"For the same price, you get a lot more in the Asus....1920x1080 res."
1494,1473,80,neutral,iTunes,86,"I made a photo book as a gift, on my computer, pushed ""Buy"" and it drew from my iTunes account and sent the book to my house, the book was of perfect quality-exactly how I had created it and looked better than I had even imagined."
1545,1474,108,positive,portability,119,"I use this for my tutoring business, and since I'm always bouncing from student to student, it is ideal for portability and battery life (yes, it gets the 8 hours as advertised!)."
1545,1474,124,positive,battery life,136,"I use this for my tutoring business, and since I'm always bouncing from student to student, it is ideal for portability and battery life (yes, it gets the 8 hours as advertised!)."
1587,1475,50,positive,quality,57,It is in the best condition and has a really high quality.
1236,1476,22,neutral,warranty service to Toshiba,49,When it come time for warranty service to Toshiba you don't matter.
1911,1477,21,negative,screens,28,  However the frozen screens kept happening.
3052,1478,,,,,Ive owned Apple computers and laptops for as long as i could remember.
1161,1479,,,,,At least those computers didn't just die on me like this one.
556,1480,,,,,It's A MAC!!
1452,1481,,,,,  i had the bulk of problems with my lap top within the first six months.
1334,1482,,,,,This is my first LG product.
275,1483,15,negative,space,20,"It is short on space, and downloads always had problems being completed, or were said to be 'corrupted'."
275,1483,26,negative,downloads,35,"It is short on space, and downloads always had problems being completed, or were said to be 'corrupted'."
191,1484,12,negative,customer support,28,3) Horrible customer support
2349,1485,4,positive,LED backlit display,23,The LED backlit display makes my pictures pop so much more.
606,1486,,,,,very very slow laptop.
1032,1487,,,,,I'm going back to DELL.
1974,1488,,,,,With what I paid for this computer it should have had everything on it.
2611,1489,32,positive,aesthetics,42,"Apple is always great about the aesthetics of things, they always come up with good looking products."
283,1490,,,,,I went to my local Best Buy looking for a new laptop since mine broke.
2940,1491,0,positive,Runs,4,Runs smooth and quick.
1840,1492,,,,,"Not a bad laptop, it's a bit slow, but gets the job done."
1249,1493,,,,,"Honestly, I spent more time waiting for it to unfreeze then actually doing what I got on there for!"
2915,1494,,,,,This a starter notebook.
860,1495,,,,,No I am generous calling it slow.
2577,1496,70,neutral,screen size,81,The downside to this netbook is pretty much the same for any netbook: screen size is not something I'd stare at for the entire 10-11 hours of battery life five days a week.
2577,1496,142,neutral,battery life,154,The downside to this netbook is pretty much the same for any netbook: screen size is not something I'd stare at for the entire 10-11 hours of battery life five days a week.
2933,1497,4,positive,graphics,12,The graphics are great.
457,1498,,,,,"All-in-all, I would definitely recommend this product for nearly everyone."
1208,1499,16,negative,connect quality,31,in 5 months the connect quality got worse and worse.
2494,1500,8,positive,screen,14,"The big screen allows you to enjoy watching movies , pictures and etc!"
2807,1501,4,negative,headphone,13,"the headphone and mic jack are in front of touch-pad making the touch-pad hard to use when using headphones/mic, not to mention the laptop was designed for right handed person."
2807,1501,18,negative,mic jack,26,"the headphone and mic jack are in front of touch-pad making the touch-pad hard to use when using headphones/mic, not to mention the laptop was designed for right handed person."
2807,1501,43,neutral,touch-pad,52,"the headphone and mic jack are in front of touch-pad making the touch-pad hard to use when using headphones/mic, not to mention the laptop was designed for right handed person."
2807,1501,64,negative,touch-pad,73,"the headphone and mic jack are in front of touch-pad making the touch-pad hard to use when using headphones/mic, not to mention the laptop was designed for right handed person."
2807,1501,97,negative,headphones,107,"the headphone and mic jack are in front of touch-pad making the touch-pad hard to use when using headphones/mic, not to mention the laptop was designed for right handed person."
2807,1501,108,negative,mic,111,"the headphone and mic jack are in front of touch-pad making the touch-pad hard to use when using headphones/mic, not to mention the laptop was designed for right handed person."
12,1502,12,positive,price,17,For the [$] price (special offer) this is a great laptop.
2109,1503,,,,,"I have had at least eight Toshiba laptops, and they have been outstanding, including this one."
765,1504,,,,,"I called back to ensure that received it, they had."
986,1505,19,negative,warranty,27,the manufacturer's warranty only covers replacement/repair of parts.
61,1506,82,negative,memory,88,What I'd like is for the laptop to run well without having to purchase additional memory.
61,1506,35,neutral,run,38,What I'd like is for the laptop to run well without having to purchase additional memory.
1790,1507,,,,,"If you can afford a new laptop, and are in the market for one, of course, then definitely go for this."
807,1508,,,,,Got the computer back a month later and it was still broken sent it out again and they repaired it.
2463,1509,3,positive,works,8,It works exactly like it did the day I took it out of the box.
947,1510,,,,,"Now, the next issue I had freaked me out."
1477,1511,,,,,i love ths notebook.
2487,1512,43,positive,connection with the internet,71,"It is fast booting up , shutting down, and connection with the internet."
2487,1512,11,positive,booting up,21,"It is fast booting up , shutting down, and connection with the internet."
2487,1512,24,positive,shutting down,37,"It is fast booting up , shutting down, and connection with the internet."
1638,1513,4,positive,battery life,16,The battery life is great.
3082,1514,22,negative,gaming,28,This is not a serious gaming laptop or a serious media machine;
1157,1515,,,,,"Even if Apple replaces whatever needs replacing I wonder if, since I seem to be doubling the amount of time I get out of it each time it's ""like new,"" I might have 8 months next time."
1251,1516,,,,,I got this laptop on Black Friday.
1909,1517,19,neutral,hard drive,29,  They replaced my hard drive as well as my mother board.
1909,1517,44,neutral,mother board,56,  They replaced my hard drive as well as my mother board.
3014,1518,,,,,I fell in love with it.
518,1519,,,,,"It was just one problem after another for me, and that's reason we had forked out so much money was so we wouldn't have anything to worry about."
2512,1520,39,positive,system,45,There is nothing to complain about the system.
2234,1521,26,positive,OSX,29,and it comes with the new OSX that comes with new features that makes the use more easy.
2234,1521,50,positive,features,58,and it comes with the new OSX that comes with new features that makes the use more easy.
2234,1521,74,positive,use,77,and it comes with the new OSX that comes with new features that makes the use more easy.
3002,1522,,,,,Maybe not the cutting edge (Satellite L455D) but it is a workhorse.
318,1523,,,,,But the Macbook is the best!
405,1524,8,negative,screen,14,"Now the screen is going darker, darker, darker."
1086,1525,46,negative,KEYS,50,EITHER THE COMPUTER IS TOO SLOW TO DETECT THE KEYS TYPED (THIS IS UNLIKELY AS I AM A SLOW TYPIST) OR THE KEYBOARD SIMPLY DOES NOT DETECT THE KEYS BEING TYPED.
1086,1525,105,negative,KEYBOARD,113,EITHER THE COMPUTER IS TOO SLOW TO DETECT THE KEYS TYPED (THIS IS UNLIKELY AS I AM A SLOW TYPIST) OR THE KEYBOARD SIMPLY DOES NOT DETECT THE KEYS BEING TYPED.
1086,1525,141,negative,KEYS,145,EITHER THE COMPUTER IS TOO SLOW TO DETECT THE KEYS TYPED (THIS IS UNLIKELY AS I AM A SLOW TYPIST) OR THE KEYBOARD SIMPLY DOES NOT DETECT THE KEYS BEING TYPED.
1500,1526,,,,,I got the black MacBook two years ago and have never regretted it.
604,1527,,,,,As a graphic arts a retired instructor I still love to play with the graphic with photos and clip art .....
893,1528,,,,,My wife also has problems with her Asus - different model.
2504,1529,0,neutral,Features,8,"Features such as the Dashboard (allows you to view frequently used tools like a calculator, weather forecast, movie times, calendar, computer post its etc."
2504,1529,21,neutral,Dashboard,30,"Features such as the Dashboard (allows you to view frequently used tools like a calculator, weather forecast, movie times, calendar, computer post its etc."
2104,1530,,,,,This computer is the ideal college companion.
2206,1531,,,,,Both computers started acting extremely slow within the first year of owning them.
74,1532,,,,,The MacBook Pro is very sturdy and versatile.
793,1533,80,negative,return policy,93,when i called to have another one shipped or to get my money back they said the return policy is 23 twenty three days from the date of purchase.
2662,1534,,,,,"BOUGHT FROM WAL-MART, I BELIEVE THAT THIS LAPTOP WAS A REPAIRED ITEM."
2726,1535,,,,,Couldnt not use it.
956,1536,46,negative,battery,53,"  I sent it back and found this time that the battery was faulty, so I got a new one and some other fixes they found."
2044,1537,,,,,I swear they design these things to go to crap after a year so you are stuck and have to buy a new one.
2516,1538,15,positive,portability,26,Great pick for portability and affordability.
2516,1538,31,positive,affordability,44,Great pick for portability and affordability.
2760,1539,34,positive,set up,40,"It's fast, it's easy easy easy to set up, easy to hook to my wireless network."
2760,1539,50,positive,hook to my wireless network,77,"It's fast, it's easy easy easy to set up, easy to hook to my wireless network."
1597,1540,60,positive,aluminum style,74,"I previously purchased a 13"" macbook (had pro specs and was aluminum style) which had a nvidia 9800 (If I am not mistaken) and it had major heating issues."
1597,1540,46,positive,specs,51,"I previously purchased a 13"" macbook (had pro specs and was aluminum style) which had a nvidia 9800 (If I am not mistaken) and it had major heating issues."
1597,1540,88,neutral,nvidia 9800,99,"I previously purchased a 13"" macbook (had pro specs and was aluminum style) which had a nvidia 9800 (If I am not mistaken) and it had major heating issues."
126,1541,,,,,They didn't even try to assist me or even offer a replacement.
2404,1542,,,,,We used PC products - it seemed simpler to continue with the same thing.
1329,1543,65,positive,arm piece,74,The people there just changed for me on the spot and I got a new arm piece and they didn't even request for a receipt.
1223,1544,,,,,"I love my Samsung TV and Galaxy S smartphone, but this Netbook was a very poor computer."
3005,1545,,,,,I made a perfect decision when I bought the Toshiba!
2338,1546,53,positive,carry,58,I take it everywhere with me because it's so easy to carry.
2948,1547,27,negative,battery,34,The only thing is that the battery won't last more than 1/2 an hour.
117,1548,,,,,It still heats up like mad and I am unable to use it with the computer directly on my lap for more than five to ten minutes at a time.
2027,1549,37,neutral,1-year-warranty,52,The first fell apart right after the 1-year-warranty.
2877,1550,,,,,I am finding my way around this laptop better than my last one.
853,1551,,,,,"  They told me it was my loss even though it was the computer, not  what I've done."
1833,1552,,,,,I would Highly recommend this MacBook.
3053,1553,,,,,"About 2 months ago i bought the 2011 macbook pro, which was an upgrade from my 2010 macbook pro."
316,1554,,,,,"Let's just get this out of the way, I love Apple!"
2936,1555,14,conflict,word,18,Oh and it has word and stuff but its a trial verion so after about a month or so when you go to open it it asks for a product key which didnt come with the computer and even after clicking cancel it wont let you use it at all I use the old word processer which works good.
2936,1555,240,positive,word processer,254,Oh and it has word and stuff but its a trial verion so after about a month or so when you go to open it it asks for a product key which didnt come with the computer and even after clicking cancel it wont let you use it at all I use the old word processer which works good.
684,1556,4,positive,keyboard,12,The keyboard has a wonderful nature feel.
464,1557,63,neutral,battery,70,"They went through asking me open up various components, taking battery out, hard disk apart, and after 2 hours on phone could not fix it."
464,1557,76,neutral,hard disk,85,"They went through asking me open up various components, taking battery out, hard disk apart, and after 2 hours on phone could not fix it."
628,1558,,,,,"*4 weeks after giving the computer for repair*-Annoyed at MacHouse Amsterdam, decided to send complaint email to Apple."
596,1559,,,,,"While there are occasions that my computer will freeze or will need to be manually shut down, this occurs far less frequently than on PC computers and laptops that I've used."
342,1560,,,,,Bought with a credit card.
2762,1561,4,negative,battery,11,The battery doesn't last long but I'm sure an upgrade battery would solve that problem.
2762,1561,54,positive,battery,61,The battery doesn't last long but I'm sure an upgrade battery would solve that problem.
2440,1562,39,neutral,performance specs,56,"I was looking too closely at the other performance specs and while comparing, I took it for granted that these features were standard."
2440,1562,111,neutral,features,119,"I was looking too closely at the other performance specs and while comparing, I took it for granted that these features were standard."
1951,1563,,,,,I did a lot of research and ended up thinking this Toshiba was the best one for me.
2334,1564,,,,,"""  I've had it now about 2 months and absolutely LOVE IT."
1046,1565,52,negative,quality control,67,I have no idea how this could have even gotten past quality control during production.
735,1566,95,negative,touch-mouse,106,"I bought this last week, and the very next day had to return it because it over heated and the touch-mouse stopped responding."
2176,1567,,,,,I am so happy to have purchased this computer.
2821,1568,15,negative,numeric pad,26,"Oh yea, has no numeric pad on the side."
1987,1569,4,negative,cover for the DVD drive,27,"The cover for the DVD drive soon came off, too--a mark of poor construction quality."
1987,1569,63,negative,construction quality,83,"The cover for the DVD drive soon came off, too--a mark of poor construction quality."
1386,1570,,,,,I returned the 2nd laptop for a full refund.
1354,1571,,,,,really no problems with the hand me down computers I received from my children.
1830,1572,,,,,I did not take the class and wish that I would have.
2428,1573,,,,,It would be a load on long trips where a lot of walking is required.
1327,1574,8,negative,arm velcro,18,But the arm velcro is torn after one use.
54,1575,,,,,Not good for a person who gets online daily.
1886,1576,,,,,The laptop was returned but audio issue was not fixed.
517,1577,,,,,"I can't even remember how I finally got it taken care of, but I was done with Sony after that!"
1282,1578,,,,,So it was only about 2 weeks ago.
2888,1579,,,,,"I just love this lap top, I just wish it were all silver or they had all black."
1639,1580,4,positive,software,12,The software is amazing.
1288,1581,84,negative,LCD,87,"We carry the netbook around here and there, hence it's kinda of irritating when the LCD just ""slide"" downwards."
2607,1582,,,,,There is nothing better.
1273,1583,,,,,I now own another Hewlitt Packard.
2959,1584,4,positive,2 GB of RAM,15,"The 2 GB of RAM is plenty, able to run Windows 7 and at least 2 or 3 other programs with next to no slowdown."
2959,1584,39,positive,Windows 7,48,"The 2 GB of RAM is plenty, able to run Windows 7 and at least 2 or 3 other programs with next to no slowdown."
2959,1584,75,positive,programs,83,"The 2 GB of RAM is plenty, able to run Windows 7 and at least 2 or 3 other programs with next to no slowdown."
26,1585,4,positive,battery life,16,"The battery life is amazing, the versitility is outstanding."
26,1585,33,positive,versitility,44,"The battery life is amazing, the versitility is outstanding."
1194,1586,15,neutral,Safari,21,"It is known as Safari, and if you are doing any website work, you should know that many hosting companies do not support it."
264,1587,0,negative,Vista,5,Vista is a nightmare.
798,1588,,,,,i spent eight hundred dollars from a giant paper weight that looks good on a bus.
1862,1589,,,,,  I have used a couple of others on the job as well.
2214,1590,4,positive,program,11,The program came with the computer and works beautifully.
1102,1591,,,,,"Posted Nov 8, 2010 - Two weeks ago I bought this notebook."
985,1592,,,,,  Acer won't replace the laptop.
752,1593,,,,,I am also upset with CR for giving a good rating.
2806,1594,4,negative,hinge design,16,"the hinge design forced you to place various connections all around the computer, left right and front."
2356,1595,,,,,I have owned macbook pros since 2005 and this is the best yet!
1221,1596,52,positive,screen,58,"I was loving this Netbook because it had an amazing screen and display and was small and light, but after 1 week it stopped openning web pages for me (even after installing new browsers) then eventually it just started giving me a blue screen and crashing everytime I booted it."
1221,1596,63,positive,display,70,"I was loving this Netbook because it had an amazing screen and display and was small and light, but after 1 week it stopped openning web pages for me (even after installing new browsers) then eventually it just started giving me a blue screen and crashing everytime I booted it."
1221,1596,177,neutral,browsers,185,"I was loving this Netbook because it had an amazing screen and display and was small and light, but after 1 week it stopped openning web pages for me (even after installing new browsers) then eventually it just started giving me a blue screen and crashing everytime I booted it."
529,1597,,,,,"Now I could get myself a cheap computer, that will probably work a whole lot better!"
2527,1598,,,,,I would definitely not go back to using a PC after using the mac.
1237,1599,21,negative,Runs,25,The So called laptop Runs to Slow and I hate it!
2712,1600,,,,,"This is the first laptop I've owned, althougth I used several at my previous job."
2054,1601,,,,,"Those moments in thime where you want to throw something against the wall? Yeah, I wanted to throw that lap top out the window and light it on fire."
359,1602,0,negative,Charger,7,Charger seems large for this class of computer.
2394,1603,,,,,I don't really have a complaint.
1116,1604,,,,,I'm pretty sure it's not newegg's fault but when you turn on a computer you just bought you want it to at least get to desktop.
1915,1605,,,,,  Best Buy ended up junking the computer and giving me a replacement computer.
2690,1606,47,negative,speakers,55,I dislike the quality and the placement of the speakers.
2713,1607,4,positive,screen graphics,19,"The screen graphics and clarity, and sharpness are great."
2713,1607,24,positive,clarity,31,"The screen graphics and clarity, and sharpness are great."
2713,1607,37,positive,sharpness,46,"The screen graphics and clarity, and sharpness are great."
1826,1608,,,,,If I have a problem with any of my apple items I make an appointment at one of my local stores and they work on correcting it right there.
